"Date","Content"
"2024-08-21T07:00:00.000Z","A brand new test!"
"2024-05-01T07:00:00.000Z","It&#39;s been a long time coming. &lt;b&gt;Music:Response&lt;/b&gt; (our venture with Smith &amp;amp; Lyall and The Chemical Brothers is now &lt;a href=""https://x.com/CasaBatlloGaudi/status/1795098166901055975""&gt;LIVE in Barcelona&lt;/a&gt;. &lt;a href=""https://www.lavanguardia.com/mediterranean/20240523/9670035/casa-batllo-nightclub-sonar-festival-music-chemical-brothers-clip.html""&gt;La Vanguardia are into it&lt;/a&gt; . If anyone fancies coming to see it, we&#39;ll be around during Sonar week :-)"
"2024-05-01T07:00:00.000Z","Delighted to have our second &#39;venture&#39; out in the world. (More from &lt;a href=""https://nuts.international/""&gt;Nuts&lt;/a&gt; soon too xxx)"
"2024-01-01T08:00:00.000Z","Thanks to Media Cymru for funding our XR research project with &lt;a href=""https://www.instagram.com/smithandlyall/""&gt;Smith &amp;amp; Lyall&lt;/a&gt; and the Chemical Brothers. Excited to get going..."
"2024-01-01T08:00:00.000Z","HAPPY NEW YEAR!"
"2023-12-01T08:00:00.000Z","Exciting news for one of our ventures. We have a booking in Barcelona next Summer. Thanks to friends at Sonar for believing in the project."
"2023-12-01T08:00:00.000Z","XR research grant funding successful. More soon."
"2023-12-01T08:00:00.000Z","London team Christmas lunch at The Tamil Crown. Delicious."
"2023-12-01T08:00:00.000Z","Iain did a couple of talks at ADCE (Art Directors Club Europe) in Barcelona. Including one where he aledgedly deleted 80k AI generatted images live on stage. And another one with funny graphics."
"2023-11-01T07:00:00.000Z","NUTS Black Friday Caberet event at The Wharf."
"2023-11-01T07:00:00.000Z","NUTS wins Gold at Lovies in ""Beyond"" category, for ""reimagining the way we discuss and spotlight style."" which is nice."
"2023-11-01T07:00:00.000Z","Planning trip to Manchester to see Danny Boyle (and friends&#39;) reworking of the Matrix. Superb. Nice to get out of London. Factory International is exciting."
"2023-10-01T07:00:00.000Z","NUTS&lt;br/&gt;NUTSSSS&lt;br/&gt;&lt;a href=""http://www.nuts.international"" target=""_blank""&gt;NUTSSSSSS&lt;/a&gt;"
"2023-10-01T07:00:00.000Z","A bunch of &lt;a href=""src/kef_zine.jpeg"" target=""_blank""&gt;Listen Amsterdam &#39;zines&lt;/a&gt; we created with KEF and friends just landed in the studio."
"2023-09-01T07:00:00.000Z","Selfridges thing."
"2023-09-01T07:00:00.000Z","NUTS&lt;br/&gt;NUTSSSS&lt;br/&gt;&lt;a href=""http://www.nuts.international"" target=""_blank""&gt;NUTSSSSSS&lt;/a&gt;"
"2023-09-01T07:00:00.000Z","&lt;a href=""https://www.creativereview.co.uk/selfridges-yellow-pages/"" target=""_blank""&gt;Did this with Selfridges&lt;/a&gt;"
"2023-09-01T07:00:00.000Z","And some buses and stuff."
"2023-09-01T07:00:00.000Z","Interview new issue. Olivia Rodrigo."
